city,current_treecover,target_treecover,treecover_increase,n_valid_pixels,std
Boston,19.13196102684861,29.13196102684861,10.0,151181,24.429256784467597
Chicago,6.619388104581234,16.619388104581233,10.0,689072,12.606679263637005
Denver,6.366593887443787,16.366593887443788,10.0,445182,8.570935551386867
Detroit,10.650148334010714,20.650148334010716,10.0,410897,13.73613620574118
Houston,18.039673347510732,28.039673347510732,10.0,3366391,25.07791160123989
Los_Angeles,8.67542674591749,18.67542674591749,10.0,1376053,12.248044844970774
Miami,7.190478707588622,17.19047870758862,10.0,151345,14.1291005928487
Minneapolis,15.686032175794423,25.686032175794423,10.0,165466,16.74690351610161
New_York,11.790374130090722,21.790374130090722,10.0,976826,21.63709748506031
Philadelphia,16.534481624979605,26.534481624979605,10.0,410639,26.033779293305777
Phoenix,0.7779153573176837,10.777915357317683,10.0,1801786,3.290763946332502
San_Antonio,12.988937469297255,22.988937469297255,10.0,2410208,19.323470942837744
San_Diego,7.433046885112635,17.433046885112635,10.0,1212901,10.87712223645123
San_Francisco,6.829312030102817,16.829312030102816,10.0,136067,13.750324324203055
Seattle,20.383068367139366,30.383068367139366,10.0,290037,20.121324720470806
